fold,model,pred_len,MAE,ticker
2,Naive,5,0.63,HDB
3,Linear,5,1.11,HDB
3,DLinear,5,0.97,HDB
3,NLinear,5,0.8,HDB
3,Naive,5,0.75,HDB
4,Linear,5,1.06,HDB
4,DLinear,5,0.84,HDB
4,NLinear,5,0.68,HDB
4,Naive,5,0.64,HDB
1,Linear,21,0.91,HDB
1,DLinear,21,0.93,HDB
1,NLinear,21,0.79,HDB
1,Naive,21,0.8,HDB
2,Linear,21,2.18,HDB
2,DLinear,21,1.64,HDB
2,NLinear,21,1.42,HDB
2,Naive,21,1.72,HDB
3,Linear,21,1.21,HDB
3,DLinear,21,1.25,HDB
3,NLinear,21,1.22,HDB
3,Naive,21,1.16,HDB
4,Linear,21,1.72,HDB
4,DLinear,21,2.03,HDB
4,NLinear,21,1.64,HDB
4,Naive,21,1.13,HDB
1,Linear,1,0.34,KLB
1,DLinear,1,0.35,KLB
1,NLinear,1,0.18,KLB
1,Naive,1,0.17,KLB
2,Linear,1,0.42,KLB
2,DLinear,1,0.36,KLB
2,NLinear,1,0.3,KLB
2,Naive,1,0.31,KLB
3,Linear,1,0.8,KLB
3,DLinear,1,0.62,KLB
3,NLinear,1,0.32,KLB
3,Naive,1,0.27,KLB
4,Linear,1,0.65,KLB
4,DLinear,1,0.5,KLB
4,NLinear,1,0.28,KLB
4,Naive,1,0.25,KLB
1,Linear,5,0.51,KLB
1,DLinear,5,0.44,KLB
1,NLinear,5,0.35,KLB
1,Naive,5,0.33,KLB
2,Linear,5,0.47,KLB
2,DLinear,5,0.4,KLB
2,NLinear,5,0.4,KLB
2,Naive,5,0.44,KLB
3,Linear,5,0.83,KLB
3,DLinear,5,0.77,KLB
3,NLinear,5,0.62,KLB
3,Naive,5,0.46,KLB
4,Linear,5,0.74,KLB
4,DLinear,5,0.63,KLB
4,NLinear,5,0.51,KLB
4,Naive,5,0.44,KLB
1,Linear,21,0.63,KLB
1,DLinear,21,0.63,KLB
1,NLinear,21,0.6,KLB
1,Naive,21,0.54,KLB
2,Linear,21,0.77,KLB
2,DLinear,21,0.69,KLB
2,NLinear,21,0.63,KLB
2,Naive,21,0.88,KLB
3,Linear,21,1.07,KLB
3,DLinear,21,1.2,KLB
3,NLinear,21,1.18,KLB
3,Naive,21,0.83,KLB
4,Linear,21,1.11,KLB
4,DLinear,21,1.0,KLB
4,NLinear,21,1.11,KLB
4,Naive,21,0.95,KLB
1,Linear,1,1.79,LPB
1,DLinear,1,0.78,LPB
1,NLinear,1,0.53,LPB
1,Naive,1,0.47,LPB
2,Linear,1,1.36,LPB
2,DLinear,1,1.21,LPB
2,NLinear,1,0.68,LPB
2,Naive,1,0.66,LPB
3,Linear,1,3.15,LPB
3,DLinear,1,1.67,LPB
3,NLinear,1,0.93,LPB
3,Naive,1,0.8,LPB
4,Linear,1,1.3,LPB
4,DLinear,1,1.06,LPB
4,NLinear,1,0.66,LPB
4,Naive,1,0.58,LPB
1,Linear,5,1.82,LPB
1,DLinear,5,1.23,LPB
1,NLinear,5,0.78,LPB
1,Naive,5,0.75,LPB
2,Linear,5,2.02,LPB
2,DLinear,5,1.69,LPB
2,NLinear,5,1.15,LPB
2,Naive,5,1.25,LPB
3,Linear,5,3.96,LPB
3,DLinear,5,2.8,LPB
3,NLinear,5,1.49,LPB
3,Naive,5,1.36,LPB
4,Linear,5,2.84,LPB
4,DLinear,5,2.31,LPB
4,NLinear,5,1.09,LPB
4,Naive,5,0.95,LPB
1,Linear,21,2.28,LPB
1,DLinear,21,1.99,LPB
1,NLinear,21,1.18,LPB
1,Naive,21,1.35,LPB
2,Linear,21,2.78,LPB
2,DLinear,21,2.48,LPB
2,NLinear,21,2.49,LPB
2,Naive,21,2.87,LPB
3,Linear,21,4.19,LPB
3,DLinear,21,3.81,LPB
3,NLinear,21,2.43,LPB
3,Naive,21,2.44,LPB
4,Linear,21,3.64,LPB
4,DLinear,21,3.83,LPB
4,NLinear,21,2.2,LPB
4,Naive,21,1.34,LPB
1,Linear,1,0.49,MBB
1,DLinear,1,0.44,MBB
1,NLinear,1,0.23,MBB
1,Naive,1,0.2,MBB
2,Linear,1,0.8,MBB
2,DLinear,1,0.73,MBB
2,NLinear,1,0.38,MBB
2,Naive,1,0.37,MBB
3,Linear,1,1.33,MBB
3,DLinear,1,1.22,MBB
3,NLinear,1,0.42,MBB
3,Naive,1,0.34,MBB
4,Linear,1,1.26,MBB
4,DLinear,1,0.94,MBB
4,NLinear,1,0.43,MBB
4,Naive,1,0.35,MBB
1,Linear,5,0.5,MBB
1,DLinear,5,0.47,MBB
1,NLinear,5,0.4,MBB
1,Naive,5,0.37,MBB
2,Linear,5,1.07,MBB
2,DLinear,5,0.83,MBB
2,NLinear,5,0.7,MBB
2,Naive,5,0.7,MBB
3,Linear,5,1.11,MBB
3,DLinear,5,1.09,MBB
3,NLinear,5,0.6,MBB
3,Naive,5,0.54,MBB
4,Linear,5,0.97,MBB
4,DLinear,5,0.94,MBB
4,NLinear,5,0.61,MBB
4,Naive,5,0.53,MBB
1,Linear,21,0.97,MBB
1,DLinear,21,0.89,MBB
1,NLinear,21,0.82,MBB
1,Naive,21,0.74,MBB
2,Linear,21,1.61,MBB
2,DLinear,21,1.52,MBB
2,NLinear,21,1.69,MBB
2,Naive,21,1.91,MBB
3,Linear,21,3.01,MBB
3,DLinear,21,2.5,MBB
3,NLinear,21,0.99,MBB
3,Naive,21,1.2,MBB
4,Linear,21,2.56,MBB
4,DLinear,21,2.42,MBB
4,NLinear,21,1.04,MBB
4,Naive,21,0.92,MBB
1,Linear,1,0.22,MSB
1,DLinear,1,0.21,MSB
1,NLinear,1,0.14,MSB
1,Naive,1,0.11,MSB
2,Linear,1,0.48,MSB
2,DLinear,1,0.32,MSB
2,NLinear,1,0.23,MSB
2,Naive,1,0.22,MSB
3,Linear,1,0.32,MSB
3,DLinear,1,0.26,MSB
3,NLinear,1,0.19,MSB
3,Naive,1,0.16,MSB
4,Linear,1,0.29,MSB
4,DLinear,1,0.21,MSB
4,NLinear,1,0.16,MSB
4,Naive,1,0.13,MSB
1,Linear,5,0.26,MSB
1,DLinear,5,0.29,MSB
1,NLinear,5,0.23,MSB
1,Naive,5,0.21,MSB
2,Linear,5,0.58,MSB
2,DLinear,5,0.53,MSB
2,NLinear,5,0.36,MSB
2,Naive,5,0.37,MSB
3,Linear,5,0.47,MSB
3,DLinear,5,0.43,MSB
3,NLinear,5,0.28,MSB
3,Naive,5,0.25,MSB
4,Linear,5,0.4,MSB
4,DLinear,5,0.38,MSB
4,NLinear,5,0.23,MSB
4,Naive,5,0.22,MSB
1,Linear,21,0.44,MSB
1,DLinear,21,0.43,MSB
1,NLinear,21,0.44,MSB
1,Naive,21,0.4,MSB
2,Linear,21,0.72,MSB
2,DLinear,21,0.7,MSB
2,NLinear,21,0.77,MSB
2,Naive,21,0.95,MSB
3,Linear,21,0.92,MSB
3,DLinear,21,0.81,MSB
3,NLinear,21,0.5,MSB
3,Naive,21,0.49,MSB
4,Linear,21,0.96,MSB
4,DLinear,21,0.84,MSB
4,NLinear,21,0.48,MSB
4,Naive,21,0.46,MSB
1,Linear,1,0.22,OCB
1,DLinear,1,0.18,OCB
1,NLinear,1,0.12,OCB
1,Naive,1,0.11,OCB
2,Linear,1,0.46,OCB
2,DLinear,1,0.32,OCB
2,NLinear,1,0.24,OCB
2,Naive,1,0.23,OCB
3,Linear,1,0.46,OCB
3,DLinear,1,0.26,OCB
3,NLinear,1,0.21,OCB
3,Naive,1,0.15,OCB
4,Linear,1,0.35,OCB
4,DLinear,1,0.21,OCB
4,NLinear,1,0.13,OCB
4,Naive,1,0.11,OCB
1,Linear,5,0.21,OCB
1,DLinear,5,0.22,OCB
1,NLinear,5,0.2,OCB
1,Naive,5,0.18,OCB
2,Linear,5,0.48,OCB
2,DLinear,5,0.44,OCB
2,NLinear,5,0.37,OCB
2,Naive,5,0.38,OCB
3,Linear,5,0.29,OCB
3,DLinear,5,0.3,OCB
3,NLinear,5,0.28,OCB
3,Naive,5,0.23,OCB
4,Linear,5,0.25,OCB
4,DLinear,5,0.25,OCB
4,NLinear,5,0.21,OCB
4,Naive,5,0.19,OCB
1,Linear,21,0.37,OCB
1,DLinear,21,0.34,OCB
1,NLinear,21,0.38,OCB
1,Naive,21,0.33,OCB
2,Linear,21,0.98,OCB
2,DLinear,21,0.98,OCB
2,NLinear,21,0.69,OCB
2,Naive,21,0.81,OCB
3,Linear,21,0.39,OCB
3,DLinear,21,0.38,OCB
3,NLinear,21,0.38,OCB
3,Naive,21,0.33,OCB
4,Linear,21,0.37,OCB
4,DLinear,21,0.35,OCB
4,NLinear,21,0.4,OCB
4,Naive,21,0.36,OCB
1,Linear,1,0.44,SHB
1,DLinear,1,0.32,SHB
1,NLinear,1,0.17,SHB
1,Naive,1,0.15,SHB
2,Linear,1,0.77,SHB
2,DLinear,1,0.44,SHB
2,NLinear,1,0.31,SHB
2,Naive,1,0.3,SHB
3,Linear,1,1.62,SHB
3,DLinear,1,0.88,SHB
3,NLinear,1,0.32,SHB
3,Naive,1,0.22,SHB
4,Linear,1,1.69,SHB
4,DLinear,1,0.8,SHB
4,NLinear,1,0.24,SHB
4,Naive,1,0.21,SHB
1,Linear,5,0.42,SHB
1,DLinear,5,0.43,SHB
1,NLinear,5,0.33,SHB
1,Naive,5,0.3,SHB
2,Linear,5,0.83,SHB
2,DLinear,5,0.57,SHB
2,NLinear,5,0.5,SHB
2,Naive,5,0.56,SHB
3,Linear,5,2.05,SHB
3,DLinear,5,1.14,SHB
3,NLinear,5,0.48,SHB
3,Naive,5,0.4,SHB
4,Linear,5,2.01,SHB
4,DLinear,5,1.11,SHB
4,NLinear,5,0.37,SHB
4,Naive,5,0.34,SHB
1,Linear,21,0.54,SHB
1,DLinear,21,0.56,SHB
1,NLinear,21,0.71,SHB
1,Naive,21,0.71,SHB
