ticker,model,pred_len,RMSE,MAE,R2,VarianceRatio
OCB,Naive,1,0.1963,0.132,0.913,0.9987
OCB,Linear,1,0.4699,0.3972,0.5016,0.8823
OCB,DLinear,1,0.3039,0.2332,0.7914,0.9475
OCB,NLinear,1,0.231,0.1681,0.8795,0.9975
OCB,Naive,5,0.2899,0.2093,0.8075,1.0054
OCB,Linear,5,0.3458,0.2677,0.7262,1.0013
OCB,DLinear,5,0.3468,0.2697,0.7246,0.9883
OCB,NLinear,5,0.3265,0.2401,0.7558,1.0147
OCB,Naive,21,0.4229,0.3223,0.5651,1.0376
OCB,Linear,21,0.4718,0.3711,0.4588,1.1114
OCB,DLinear,21,0.4723,0.3735,0.4577,1.0616
OCB,NLinear,21,0.4674,0.3645,0.4689,1.0972
SHB,Naive,1,0.286,0.2093,0.8865,0.9884
SHB,Linear,1,1.8145,1.6821,-3.5683,0.8271
SHB,DLinear,1,0.9717,0.8437,-0.3101,0.9734
SHB,NLinear,1,0.3807,0.28,0.7989,1.002
SHB,Naive,5,0.4753,0.3694,0.6709,0.9888
SHB,Linear,5,2.209,2.0355,-6.1094,1.1592
SHB,DLinear,5,1.3558,1.139,-1.6781,1.097
SHB,NLinear,5,0.5563,0.4238,0.5492,1.0286
SHB,Naive,21,0.719,0.5519,0.1568,1.0312
SHB,Linear,21,4.8801,4.4347,-37.8411,2.5242
SHB,DLinear,21,4.3239,3.791,-29.4918,2.5771
SHB,NLinear,21,0.979,0.723,-0.563,1.2987
SSB,Naive,1,0.2325,0.1487,0.9127,1.0151
SSB,Linear,1,0.4843,0.392,0.6214,1.0557
SSB,DLinear,1,0.3091,0.2328,0.8458,1.0267
SSB,NLinear,1,0.2588,0.1739,0.8919,1.0289
SSB,Naive,5,0.3239,0.2318,0.8166,1.0571
SSB,Linear,5,0.5018,0.3843,0.5597,1.0526
SSB,DLinear,5,0.4317,0.33,0.6741,1.0404
SSB,NLinear,5,0.3331,0.2419,0.806,1.0454
SSB,Naive,21,0.5912,0.4105,0.111,1.3012
SSB,Linear,21,0.757,0.5909,-0.4577,1.1717
SSB,DLinear,21,0.7628,0.5996,-0.4801,1.1257
SSB,NLinear,21,0.5136,0.3655,0.3291,1.2333
STB,Naive,1,1.5599,1.126,0.9357,0.9946
STB,Linear,1,2.8094,2.2531,0.7915,0.9067
STB,DLinear,1,2.6704,2.1424,0.8116,0.9214
STB,NLinear,1,1.6915,1.2574,0.9244,1.0309
STB,Naive,5,2.7184,2.0062,0.8048,0.981
STB,Linear,5,4.0223,3.2709,0.5727,0.8567
STB,DLinear,5,3.9457,3.166,0.5888,0.869
STB,NLinear,5,2.7077,1.9974,0.8064,0.995
STB,Naive,21,4.6152,3.6153,0.4467,0.9443
STB,Linear,21,7.2033,5.6364,-0.3479,0.8639
STB,DLinear,21,7.786,6.3299,-0.5747,0.8769
STB,NLinear,21,4.3759,3.4087,0.5026,0.9651
TCB,Naive,1,0.7251,0.5505,0.9295,1.0009
TCB,Linear,1,1.5113,1.1791,0.6939,1.0009
TCB,DLinear,1,1.4437,1.1055,0.7207,0.9863
TCB,NLinear,1,0.8121,0.6032,0.9116,1.0125
TCB,Naive,5,1.2962,0.9734,0.7758,1.0119
